VariableCode,RegionCode,YearCode,AggValue
emp,ESP,1950,11.64428710937500000
emp,ESP,1951,11.68296623229980000
emp,ESP,1952,11.72945117950440000
emp,ESP,1953,11.80374431610110000
emp,ESP,1954,11.89110374450680000
emp,ESP,1955,12.04402828216550000
emp,ESP,1956,12.22793388366700000
emp,ESP,1957,12.40948963165280000
emp,ESP,1958,12.64357376098630000
emp,ESP,1959,12.49307727813720000
emp,ESP,1960,12.35408115386960000
emp,ESP,1961,12.56157207489010000
emp,ESP,1962,12.64057826995850000
emp,ESP,1963,12.72483444213870000
emp,ESP,1964,12.79196262359620000
emp,ESP,1965,12.88934040069580000
emp,ESP,1966,13.01227188110350000
emp,ESP,1967,13.09928894042970000
emp,ESP,1968,13.19266128540040000
emp,ESP,1969,13.31600666046140000
emp,ESP,1970,13.45123004913330000
emp,ESP,1971,13.57646083831790000
emp,ESP,1972,13.75174999237060000
emp,ESP,1973,14.12126731872560000
emp,ESP,1974,14.21719741821290000
emp,ESP,1975,13.97397041320800000
emp,ESP,1976,13.81031417846680000
emp,ESP,1977,13.67822647094730000
emp,ESP,1978,13.29373073577880000
emp,ESP,1979,13.01060581207280000
emp,ESP,1980,12.72400379180910000
emp,ESP,1981,12.42212295532230000
emp,ESP,1982,12.31682300567630000
emp,ESP,1983,12.27441215515140000
emp,ESP,1984,11.99796485900880000
emp,ESP,1985,11.86697769165040000
emp,ESP,1986,12.12577915191650000
emp,ESP,1987,12.68238735198970000
emp,ESP,1988,13.09670352935790000
emp,ESP,1989,13.54313278198240000
emp,ESP,1990,14.03933429718020000
emp,ESP,1991,14.20646190643310000
emp,ESP,1992,13.98004817962650000
emp,ESP,1993,13.55533695220950000
emp,ESP,1994,13.47014522552490000
emp,ESP,1995,13.70997714996340000
emp,ESP,1996,13.89273071289060000
emp,ESP,1997,14.39737415313720000
emp,ESP,1998,15.02806758880620000
emp,ESP,1999,15.74697208404540000
emp,ESP,2000,16.60574150085450000
emp,ESP,2001,17.22849845886230000
emp,ESP,2002,17.66099166870120000
emp,ESP,2003,18.18919181823730000
emp,ESP,2004,18.84275627136230000
emp,ESP,2005,19.62548446655270000
emp,ESP,2006,20.41145515441890000
emp,ESP,2007,21.00640869140630000
emp,ESP,2008,20.98794937133790000
emp,ESP,2009,19.70190811157230000
emp,ESP,2010,19.41273880004880000
emp,ESP,2011,18.91444396972660000
emp,ESP,2012,18.13566398620610000
emp,ESP,2013,17.70120048522950000
emp,ESP,2014,17.88025283813480000
emp,ESP,2015,18.35293006896970000
emp,ESP,2016,18.71360588073730000
emp,ESP,2017,19.17197990417480000
emp,ESP,2018,19.52936553955080000
emp,ESP,2019,19.87201309204100000
avh,ESP,1950,2209.25714869554000000
avh,ESP,1951,2205.07860324955000000
avh,ESP,1952,2201.01603166708000000
avh,ESP,1953,2197.05577472856000000
avh,ESP,1954,2214.11412065673000000
avh,ESP,1955,2196.02446333867000000
avh,ESP,1956,2179.88870547795000000
avh,ESP,1957,2164.81227279831000000
avh,ESP,1958,2150.18005086849000000
avh,ESP,1959,2139.62833177375000000
avh,ESP,1960,2130.37402835247000000
avh,ESP,1961,2112.11736805369000000
avh,ESP,1962,2094.91309416263000000
avh,ESP,1963,2077.98460980219000000
avh,ESP,1964,2032.25583043990000000
avh,ESP,1965,2024.53052909372000000
avh,ESP,1966,2025.91942916709000000
